match_day,match_date,home_team,away_team,home_team_score,away_team_score,HT_num_goals_firsthalf,HT_num_goals_secondhalf,AT_num_goals_firsthalf,AT_num_goals_secondhalf,match_link,home_posession,away_posession,home_shots,away_shots,home_shots_ontarget,away_shots_ontarget,home_fouls,away_fouls,home_corners,away_corners,home_saves,away_saves,home_offsides,away_offsides,home_yellow,away_yellow,home_red,away_red
Sun,Mar 31,Rayo,Betis,1,1,1,0,0,1,https://www.msn.com/en-us/sports/soccer/la-liga/rayo-vallecano-v-real-betis/game-center/sp-id-80402000001009602,46,54,20,7,5,2,22,9,6,3,1,4,1,4,5,3,1,0
Sun,Mar 31,Levante,Eibar,2,2,2,0,1,1,https://www.msn.com/en-us/sports/soccer/la-liga/levante-v-eibar/game-center/sp-id-80402000001009603,40,60,7,17,2,3,9,12,6,7,,,3,2,2,1,0,0
Sat,Mar 30,Alavés,Atlético,0,4,0,0,2,2,https://www.msn.com/en-us/sports/soccer/la-liga/alav%c3%a9s-v-atl%c3%a9tico-de-madrid/game-center/sp-id-80402000001009596,44,56,14,11,4,7,10,8,9,2,3,3,,,2,2,0,0
Sat,Mar 30,Celta,Villarreal,3,2,0,3,2,0,https://www.msn.com/en-us/sports/soccer/la-liga/celta-de-vigo-v-villarreal/game-center/sp-id-80402000001009598,64,36,15,14,6,5,7,8,10,7,3,3,2,1,1,3,0,0
Sat,Mar 30,Barça,Espanyol,2,0,0,2,0,0,https://www.msn.com/en-us/sports/soccer/la-liga/barcelona-v-espanyol/game-center/sp-id-80402000001009597,70,30,13,4,3,2,15,14,5,2,2,2,2,3,0,4,0,0
Sat,Mar 30,Getafe,Leganés,0,2,0,0,0,2,https://www.msn.com/en-us/sports/soccer/la-liga/getafe-v-legan%c3%a9s/game-center/sp-id-80402000001009599,56,44,9,7,2,3,15,25,3,4,1,2,,,5,2,0,0
Fri,Mar 29,Girona,Athletic,1,2,1,0,0,2,https://www.msn.com/en-us/sports/soccer/la-liga/girona-v-athletic-club/game-center/sp-id-80402000001009601,49,51,6,8,2,5,18,18,3,3,3,1,1,4,2,4,0,0
Sun,Mar 17,Betis,Barça,1,4,0,1,2,2,https://www.msn.com/en-us/sports/soccer/la-liga/real-betis-v-barcelona/game-center/sp-id-80402000001009590,56,44,13,16,3,9,10,11,3,7,5,2,1,2,1,2,0,0
Sun,Mar 17,Valencia,Getafe,0,0,99,99,99,99,https://www.msn.com/en-us/sports/soccer/la-liga/valencia-cf-v-getafe/game-center/sp-id-80402000001009592,63,37,8,9,2,1,13,22,3,5,1,2,6,3,3,4,0,0
Sun,Mar 17,Villarreal,Rayo,3,1,0,3,1,0,https://www.msn.com/en-us/sports/soccer/la-liga/villarreal-v-rayo-vallecano/game-center/sp-id-80402000001009595,54,46,12,7,4,3,16,7,5,5,2,1,3,3,3,3,0,0
